Network built: 131 buses, 191 lines, 16 trafos, 103 loads, 22 gens, 2 ext_grid(s)

Running AC power flow (pp.runpp) ...

=== Bus results (res_bus) ===
        vm_pu  va_degree         p_mw      q_mvar                   name  vn_kv
162  2.581313e+01 -3.083784e-01  ...        12.741622                     18-19
189 -2.007935e+01 -1.862846e+01  ...        12.578782                       1-2
142  2.593916e+01  6.590361e-01  ...        12.161412                   106-107
141  1.586637e+01  1.947081e+01  ...        11.854136                     80-97
15  -1.998756e+01 -1.036718e+01  ...        11.669689                     41-42
5    2.590258e+01 -1.768282e-02  ...        11.379735                     80-98
36  -2.185277e+01  1.086540e+01  ...        11.235570                     56-57
146 -2.356757e+01  6.098231e+00  ...        11.114247                     62-67
156  2.248978e+01 -4.769725e+00  ...        10.746602                     24-70
110  1.722291e+01 -1.546897e+01  ...        10.607936                   109-110
13  -2.114056e+01 -9.466010e+00  ...        10.531296                     78-79
67   1.984992e+01 -3.464469e+00  ...        10.423848                     40-41
126 -2.007374e+01 -9.430400e+00  ...         9.784160                     55-56
37   7.865598e+00  1.598983e+01  ...         9.739782                     80-96
41   1.748808e+01 -1.201710e+01  ...         9.468912                     51-58
85  -1.568796e+01 -1.102810e+01  ...         9.355102                     43-44
89   1.899151e+01 -2.933118e+00  ...         8.524438                     85-86
1   -1.439296e+01 -1.244587e+01  ...         8.471277                     53-54
62  -1.492994e+01  8.694654e+00  ...         8.203729                   114-115
43  -1.548875e+01  5.880187e+00  ...         8.176397                     46-48
73  -1.454218e+01  3.716569e+00  ...         7.602381                     71-72
161  4.203329e-01 -1.660097e+01  ...         7.537476                     96-97
44   1.478545e+01  3.542531e+00  ...         7.527242                     70-75
155 -1.643713e+00 -1.625546e+01  ...         7.477290                     82-96
165 -1.441163e+01 -3.951859e-01  ...         7.218940                     33-37
154  1.584689e+01 -4.013319e+00  ...         7.150040                     80-99
53  -1.202962e+01 -8.441956e+00  ...         7.117717                    76-118
33  -9.404049e+00 -9.468823e+00  ...         6.903652                     40-42
4   -1.452062e+01  1.978288e+00  ...         6.863639                     70-71
152  5.884519e+00 -1.305613e+01  ...         6.541164                     95-96
133  1.166349e+01 -8.587598e+00  ...         6.538325                     90-91
97  -4.424495e+00  1.065481e+01  ...         6.055831                     56-58
9    1.036561e+01  4.038236e+00  ...         5.991122                     15-33
87  -6.311371e+00  9.638270e+00  ...         5.962857                    32-114
150  1.038072e+01 -7.844984e+00  ...         5.827193                     52-53
27  -9.212197e+00  7.966166e+00  ...         5.779624                     60-62
188  6.216388e+00  9.589399e+00  ...         5.756057                     54-55
102  8.487494e+00  7.758273e+00  ...         5.705016                   105-106
100 -1.078988e+01 -3.905289e+00  ...         5.055893                    98-100
12   3.688111e+00 -8.984115e+00  ...         4.803574                     34-43
45   2.416846e-04 -1.732885e+01  ...         4.424453                    68-116
93  -4.225955e+00 -8.226816e+00  ...         4.067581                     47-49
171  4.349455e-04 -2.894471e+01  ...         4.000453                LineEH-SD4
164  3.018602e-04 -2.631512e+01  ...         3.636825   TieLine_EH-HVDC_EH_SD_1
32   8.663255e-01 -6.743536e+00  ...         3.057947                     91-92
153  2.951464e+00 -3.826906e+00  ...         2.394070                     19-34
59   4.417001e-01  3.636603e+00  ...         1.925591                     35-36
176  1.059455e-03 -3.584501e+00  ...         1.567813                    12-117
177  2.668496e-05 -1.045897e+00  ...         0.485525                     71-73
11   0.000000e+00  0.000000e+00  ...         0.000000               L-356722675
166  0.000000e+00  0.000000e+00  ...         0.000000               L-356722699
63   0.000000e+00  0.000000e+00  ...         0.000000               L-356722688
137  0.000000e+00  0.000000e+00  ...         0.000000               L-356722660
84   0.000000e+00  0.000000e+00  ...              NaN                       8-9
140  0.000000e+00  0.000000e+00  ...              NaN                      9-10
167  0.000000e+00  0.000000e+00  ...              NaN  TieLine_Espheim-Svedala1

[191 rows x 15 columns]

=== Transformer loading (res_trafo) ===
